feature,type,source,annotator
10xHis,,SnapGene,
12Pk tag,,SnapGene,
13xMyc,,SnapGene,
2u ori,rep_origin,SnapGene,
2xFLAG,,SnapGene,
2xGTIIC,protein_bind,SnapGene,
3' beta-globin insulator,,SnapGene,
3' CeU6,,SnapGene,
3' LTR,terminator,SnapGene,
3' miR-155,ncRNA,SnapGene,
3' miR-30a,ncRNA,SnapGene,
35SPPDK promoter,promoter,SnapGene,
3xFLAG,,SnapGene,
3xHA,,SnapGene,
3xMyc,,SnapGene,
5' beta-globin insulator,misc_feature,SnapGene,
5' LTR,LTR,SnapGene,
5' miR-155,ncRNA,SnapGene,
5' miR-30a,ncRNA,SnapGene,
5X UAS,protein_bind,SnapGene,
5xFLAG,,SnapGene,
6xHis,,SnapGene,
6xHN,,SnapGene,
7xHis,,SnapGene,
8xHis,,SnapGene,
9xHis,,SnapGene,
AAV2 ITR,repeat_region,SnapGene,
Ac5 promoter,promoter,SnapGene,
AcGFP1,,SnapGene,
ACP,,SnapGene,
Act1 promoter,promoter,SnapGene,
AcV5 tag,,SnapGene,
Ad SA,misc_feature,SnapGene,
Ad5 Psi,misc_signal,SnapGene,
ADE2,,SnapGene,
ADE2 promoter,promoter,SnapGene,
ADH1 promoter,promoter,SnapGene,
ADH1 terminator,terminator,SnapGene,
ADH2 terminator,terminator,SnapGene,
AID,,SnapGene,
AKH signal sequence,sig_peptide,SnapGene,
Akt1,,SnapGene,
ALFA-tag,,SnapGene,
alpha-amylase signal sequence,,SnapGene,
alpha-factor secretion signal,,SnapGene,
AMA1,rep_origin,SnapGene,
AmCyan,,SnapGene,
AmCyan1,,SnapGene,
amdS,,SnapGene,
AmpR,antibiotic,SnapGene,
AmpR promoter,promoter,SnapGene,
AnapRS,,SnapGene,
AOX1 3' fragment,misc_feature,SnapGene,
AOX1 promoter,promoter,SnapGene,
AOX1 terminator,terminator,SnapGene,
APEX2,,SnapGene,
ApmR,antibiotic,SnapGene,
APOBEC-1,,SnapGene,
APOBEC3A,,SnapGene,
araBAD promoter,promoter,SnapGene,
araC,inducer,SnapGene,
Arch,,SnapGene,
ARG4,,SnapGene,
ARG4 promoter,promoter,SnapGene,
argU,tRNA,SnapGene,
ARS1,rep_origin,SnapGene,
AsCpf1,,SnapGene,
AsRed2,,SnapGene,
AtADH 5'-UTR,5'UTR,SnapGene,
ATF6,,SnapGene,
attB,protein_bind,SnapGene,
attB1,protein_bind,SnapGene,
attB2,protein_bind,SnapGene,
attB3,protein_bind,SnapGene,
attB4,protein_bind,SnapGene,
attB5,protein_bind,SnapGene,
attB6,protein_bind,SnapGene,
attL1,protein_bind,SnapGene,
